spec,window_years,delta,pvalue,in_mcs
Run 20  log+crude+GVZ+macro,3.25,0.991,0.9777,True
Run 19  log+SPX+GVZ+macro,4.0,0.996,0.9773,True
Run 19  log+SPX+GVZ+macro,4.25,0.993,0.9773,True
Run 19  log+SPX+GVZ+macro,4.5,0.993,0.9773,True
Run 20  log+crude+GVZ+macro,1.5,0.994,0.9773,True
Run 18  log+GVZ+macro,1.5,0.989,0.9772,True
Run 18  log+GVZ+macro,2.0,0.997,0.9772,True
Run 18  log+GVZ+macro,4.5,0.998,0.9772,True
Run 18  log+GVZ+macro,6.5,0.999,0.9772,True
Run 19  log+SPX+GVZ+macro,3.5,0.995,0.9772,True
Run 19  log+SPX+GVZ+macro,3.75,0.993,0.9772,True
Run 19  log+SPX+GVZ+macro,4.0,0.993,0.9772,True
Run 19  log+SPX+GVZ+macro,4.75,0.997,0.9772,True
Run 20  log+crude+GVZ+macro,1.5,0.995,0.9772,True
Run 20  log+crude+GVZ+macro,1.75,0.997,0.9772,True
Run 20  log+crude+GVZ+macro,2.5,0.991,0.9772,True
Run 20  log+crude+GVZ+macro,3.5,0.997,0.9772,True
Run 20  log+crude+GVZ+macro,5.75,0.999,0.9772,True
Run 19  log+SPX+GVZ+macro,3.5,0.993,0.9761,True
Run 19  log+SPX+GVZ+macro,5.0,0.997,0.9761,True
Run 20  log+crude+GVZ+macro,2.25,0.991,0.9761,True
Run 19  log+SPX+GVZ+macro,3.25,0.994,0.9743,True
Run 20  log+crude+GVZ+macro,2.5,0.996,0.9743,True
Run 19  log+SPX+GVZ+macro,6.0,0.998,0.9739,True
Run 18  log+GVZ+macro,2.25,0.997,0.9736,True
Run 19  log+SPX+GVZ+macro,7.0,0.999,0.9734,True
Run 20  log+crude+GVZ+macro,1.5,0.993,0.9734,True
Run 20  log+crude+GVZ+macro,2.0,0.991,0.9732,True
Run 20  log+crude+GVZ+macro,5.25,0.999,0.9732,True
Run 19  log+SPX+GVZ+macro,5.25,0.998,0.9727,True
Run 18  log+GVZ+macro,1.25,0.997,0.9721,True
Run 18  log+GVZ+macro,3.0,0.997,0.9721,True
Run 18  log+GVZ+macro,3.5,0.988,0.9721,True
Run 18  log+GVZ+macro,3.75,0.988,0.9721,True
Run 18  log+GVZ+macro,4.0,0.988,0.9721,True
Run 18  log+GVZ+macro,4.25,0.988,0.9721,True
Run 18  log+GVZ+macro,4.5,0.988,0.9721,True
Run 18  log+GVZ+macro,4.75,0.988,0.9721,True
Run 18  log+GVZ+macro,5.0,0.988,0.9721,True
Run 18  log+GVZ+macro,5.25,0.988,0.9721,True
Run 18  log+GVZ+macro,5.5,0.988,0.9721,True
Run 18  log+GVZ+macro,5.75,0.988,0.9721,True
Run 18  log+GVZ+macro,6.0,0.988,0.9721,True
Run 18  log+GVZ+macro,6.25,0.988,0.9721,True
Run 18  log+GVZ+macro,6.5,0.988,0.9721,True
Run 18  log+GVZ+macro,6.75,0.988,0.9721,True
Run 18  log+GVZ+macro,7.0,0.988,0.9721,True
Run 19  log+SPX+GVZ+macro,3.25,0.993,0.9721,True
Run 19  log+SPX+GVZ+macro,3.75,0.996,0.9721,True
Run 19  log+SPX+GVZ+macro,4.25,0.997,0.9721,True
Run 19  log+SPX+GVZ+macro,5.75,0.998,0.9721,True
Run 20  log+crude+GVZ+macro,2.0,0.997,0.9721,True
Run 20  log+crude+GVZ+macro,4.5,0.998,0.9721,True
Run 18  log+GVZ+macro,3.25,0.988,0.9715,True
Run 19  log+SPX+GVZ+macro,3.0,0.994,0.9715,True
Run 18  log+GVZ+macro,1.5,0.997,0.9713,True
Run 18  log+GVZ+macro,2.25,0.988,0.9713,True
Run 18  log+GVZ+macro,2.5,0.988,0.9713,True
Run 18  log+GVZ+macro,2.75,0.988,0.9713,True
Run 18  log+GVZ+macro,3.0,0.988,0.9713,True
Run 19  log+SPX+GVZ+macro,2.75,0.994,0.9713,True
Run 19  log+SPX+GVZ+macro,3.0,0.993,0.9713,True
Run 19  log+SPX+GVZ+macro,3.25,0.995,0.9713,True
Run 19  log+SPX+GVZ+macro,4.5,0.997,0.9713,True
Run 19  log+SPX+GVZ+macro,5.5,0.998,0.9713,True
Run 19  log+SPX+GVZ+macro,6.75,0.999,0.9713,True
Run 20  log+crude+GVZ+macro,1.5,0.996,0.9713,True
Run 20  log+crude+GVZ+macro,4.0,0.998,0.9713,True
Run 20  log+crude+GVZ+macro,5.5,0.999,0.9713,True
Run 18  log+GVZ+macro,6.0,0.999,0.971,True
Run 19  log+SPX+GVZ+macro,2.75,0.993,0.971,True
Run 18  log+GVZ+macro,2.0,0.988,0.9701,True
Run 18  log+GVZ+macro,4.0,0.998,0.9701,True
Run 18  log+GVZ+macro,5.25,0.999,0.9701,True
Run 19  log+SPX+GVZ+macro,5.25,0.992,0.9701,True
Run 19  log+SPX+GVZ+macro,5.5,0.992,0.9701,True
Run 19  log+SPX+GVZ+macro,5.75,0.992,0.9701,True
Run 19  log+SPX+GVZ+macro,6.0,0.992,0.9701,True
Run 19  log+SPX+GVZ+macro,6.25,0.992,0.9701,True
Run 19  log+SPX+GVZ+macro,6.25,0.999,0.9701,True
Run 19  log+SPX+GVZ+macro,6.5,0.992,0.9701,True
Run 19  log+SPX+GVZ+macro,6.75,0.992,0.9701,True
Run 19  log+SPX+GVZ+macro,7.0,0.992,0.9701,True
Run 20  log+crude+GVZ+macro,3.25,0.997,0.9701,True
Run 19  log+SPX+GVZ+macro,4.75,0.992,0.97,True
Run 19  log+SPX+GVZ+macro,5.0,0.992,0.97,True
Run 19  log+SPX+GVZ+macro,3.5,0.996,0.9698,True
Run 19  log+SPX+GVZ+macro,4.25,0.992,0.9698,True
Run 19  log+SPX+GVZ+macro,4.5,0.992,0.9698,True
Run 19  log+SPX+GVZ+macro,4.0,0.992,0.9691,True
Run 18  log+GVZ+macro,1.75,0.998,0.9687,True
Run 19  log+SPX+GVZ+macro,3.75,0.992,0.9687,True
Run 19  log+SPX+GVZ+macro,6.5,0.999,0.9687,True
Run 19  log+SPX+GVZ+macro,3.5,0.992,0.9673,True
Run 20  log+crude+GVZ+macro,1.5,0.992,0.9673,True
Run 20  log+crude+GVZ+macro,1.75,0.991,0.9657,True
Run 18  log+GVZ+macro,1.25,0.989,0.9654,True
Run 18  log+GVZ+macro,1.75,0.988,0.9654,True
Run 19  log+SPX+GVZ+macro,4.0,0.997,0.9654,True
Run 20  log+crude+GVZ+macro,7.0,1.0,0.9654,True
Run 18  log+GVZ+macro,7.0,1.0,0.9643,True
Run 19  log+SPX+GVZ+macro,3.25,0.992,0.9643,True
Run 18  log+GVZ+macro,1.0,0.993,0.963,True
Run 18  log+GVZ+macro,1.0,0.994,0.963,True
Run 18  log+GVZ+macro,1.0,0.995,0.963,True
Run 18  log+GVZ+macro,1.5,0.988,0.963,True
Run 18  log+GVZ+macro,2.5,0.997,0.963,True
Run 18  log+GVZ+macro,3.75,0.998,0.963,True
Run 18  log+GVZ+macro,4.25,0.999,0.963,True
Run 18  log+GVZ+macro,5.5,0.999,0.963,True
Run 18  log+GVZ+macro,5.75,0.999,0.963,True
Run 19  log+SPX+GVZ+macro,2.0,0.993,0.963,True
Run 19  log+SPX+GVZ+macro,2.0,0.994,0.963,True
Run 19  log+SPX+GVZ+macro,2.25,0.992,0.963,True
Run 19  log+SPX+GVZ+macro,2.25,0.993,0.963,True
Run 19  log+SPX+GVZ+macro,2.25,0.994,0.963,True
Run 19  log+SPX+GVZ+macro,2.5,0.992,0.963,True
Run 19  log+SPX+GVZ+macro,2.5,0.993,0.963,True
Run 19  log+SPX+GVZ+macro,2.5,0.994,0.963,True
Run 19  log+SPX+GVZ+macro,2.75,0.992,0.963,True
Run 19  log+SPX+GVZ+macro,2.75,0.995,0.963,True
Run 19  log+SPX+GVZ+macro,3.0,0.992,0.963,True
Run 19  log+SPX+GVZ+macro,3.0,0.995,0.963,True
Run 19  log+SPX+GVZ+macro,3.25,0.996,0.963,True
Run 19  log+SPX+GVZ+macro,3.75,0.997,0.963,True
Run 19  log+SPX+GVZ+macro,4.25,0.998,0.963,True
Run 19  log+SPX+GVZ+macro,4.75,0.998,0.963,True
Run 19  log+SPX+GVZ+macro,5.0,0.998,0.963,True
Run 19  log+SPX+GVZ+macro,5.25,0.999,0.963,True
Run 19  log+SPX+GVZ+macro,6.0,0.999,0.963,True
Run 20  log+crude+GVZ+macro,1.5,0.997,0.963,True
Run 20  log+crude+GVZ+macro,1.75,0.998,0.963,True
Run 20  log+crude+GVZ+macro,2.25,0.997,0.963,True
Run 20  log+crude+GVZ+macro,2.5,0.99,0.963,True
Run 20  log+crude+GVZ+macro,2.75,0.99,0.963,True
Run 20  log+crude+GVZ+macro,2.75,0.997,0.963,True
Run 20  log+crude+GVZ+macro,3.0,0.99,0.963,True
Run 20  log+crude+GVZ+macro,3.25,0.99,0.963,True
Run 20  log+crude+GVZ+macro,3.5,0.99,0.963,True
Run 20  log+crude+GVZ+macro,3.75,0.99,0.963,True
Run 20  log+crude+GVZ+macro,3.75,0.998,0.963,True
Run 20  log+crude+GVZ+macro,4.0,0.99,0.963,True
Run 20  log+crude+GVZ+macro,4.25,0.99,0.963,True
Run 20  log+crude+GVZ+macro,4.25,0.999,0.963,True
Run 20  log+crude+GVZ+macro,4.5,0.99,0.963,True
Run 20  log+crude+GVZ+macro,4.75,0.99,0.963,True
Run 20  log+crude+GVZ+macro,4.75,0.999,0.963,True
Run 20  log+crude+GVZ+macro,5.0,0.99,0.963,True
Run 20  log+crude+GVZ+macro,5.25,0.99,0.963,True
Run 20  log+crude+GVZ+macro,5.5,0.99,0.963,True
Run 20  log+crude+GVZ+macro,5.75,0.99,0.963,True
Run 20  log+crude+GVZ+macro,6.0,0.99,0.963,True
Run 20  log+crude+GVZ+macro,6.25,0.99,0.963,True
Run 20  log+crude+GVZ+macro,6.25,1.0,0.963,True
Run 20  log+crude+GVZ+macro,6.5,0.99,0.963,True
Run 20  log+crude+GVZ+macro,6.75,0.99,0.963,True
Run 20  log+crude+GVZ+macro,7.0,0.99,0.963,True
Run 18  log+GVZ+macro,4.75,0.999,0.9622,True
Run 19  log+SPX+GVZ+macro,5.75,0.999,0.962,True
Run 20  log+crude+GVZ+macro,2.25,0.99,0.962,True
Run 19  log+SPX+GVZ+macro,2.25,0.995,0.9609,True
Run 18  log+GVZ+macro,1.0,0.992,0.9606,True
Run 18  log+GVZ+macro,1.0,0.996,0.9606,True
Run 18  log+GVZ+macro,1.25,0.998,0.9606,True
Run 18  log+GVZ+macro,3.5,0.998,0.9606,True
Run 18  log+GVZ+macro,5.0,0.999,0.9606,True
Run 18  log+GVZ+macro,6.25,1.0,0.9606,True
Run 18  log+GVZ+macro,6.75,1.0,0.9606,True
Run 19  log+SPX+GVZ+macro,1.75,0.993,0.9606,True
Run 19  log+SPX+GVZ+macro,1.75,0.994,0.9606,True
Run 19  log+SPX+GVZ+macro,2.0,0.992,0.9606,True
Run 19  log+SPX+GVZ+macro,2.0,0.995,0.9606,True
Run 19  log+SPX+GVZ+macro,2.5,0.995,0.9606,True
Run 19  log+SPX+GVZ+macro,3.5,0.991,0.9606,True
Run 19  log+SPX+GVZ+macro,3.75,0.991,0.9606,True
Run 19  log+SPX+GVZ+macro,4.0,0.991,0.9606,True
Run 19  log+SPX+GVZ+macro,4.25,0.991,0.9606,True
Run 19  log+SPX+GVZ+macro,4.5,0.991,0.9606,True
Run 19  log+SPX+GVZ+macro,4.75,0.991,0.9606,True
Run 19  log+SPX+GVZ+macro,5.0,0.991,0.9606,True
Run 19  log+SPX+GVZ+macro,5.25,0.991,0.9606,True
Run 19  log+SPX+GVZ+macro,5.5,0.991,0.9606,True
Run 19  log+SPX+GVZ+macro,5.5,0.999,0.9606,True
Run 19  log+SPX+GVZ+macro,5.75,0.991,0.9606,True
Run 19  log+SPX+GVZ+macro,6.0,0.991,0.9606,True
Run 19  log+SPX+GVZ+macro,6.25,0.991,0.9606,True
Run 19  log+SPX+GVZ+macro,6.5,0.991,0.9606,True
Run 19  log+SPX+GVZ+macro,6.75,0.991,0.9606,True
Run 19  log+SPX+GVZ+macro,7.0,0.991,0.9606,True
Run 19  log+SPX+GVZ+macro,7.0,1.0,0.9606,True
Run 20  log+crude+GVZ+macro,1.5,0.991,0.9606,True
Run 20  log+crude+GVZ+macro,2.0,0.99,0.9606,True
Run 20  log+crude+GVZ+macro,3.0,0.997,0.9606,True
Run 20  log+crude+GVZ+macro,5.0,0.999,0.9606,True
Run 19  log+SPX+GVZ+macro,3.25,0.991,0.9603,True
Run 20  log+crude+GVZ+macro,6.75,1.0,0.9581,True
Run 18  log+GVZ+macro,4.0,0.987,0.958,True
Run 18  log+GVZ+macro,4.25,0.987,0.958,True
Run 18  log+GVZ+macro,4.5,0.987,0.958,True
Run 18  log+GVZ+macro,4.75,0.987,0.958,True
Run 18  log+GVZ+macro,5.0,0.987,0.958,True
Run 18  log+GVZ+macro,5.25,0.987,0.958,True
Run 18  log+GVZ+macro,5.5,0.987,0.958,True
Run 18  log+GVZ+macro,5.75,0.987,0.958,True
Run 18  log+GVZ+macro,6.0,0.987,0.958,True
Run 18  log+GVZ+macro,6.25,0.987,0.958,True
Run 18  log+GVZ+macro,6.5,0.987,0.958,True
Run 18  log+GVZ+macro,6.5,1.0,0.958,True
Run 18  log+GVZ+macro,6.75,0.987,0.958,True
Run 18  log+GVZ+macro,7.0,0.987,0.958,True
Run 19  log+SPX+GVZ+macro,1.75,0.995,0.958,True
Run 19  log+SPX+GVZ+macro,2.75,0.991,0.958,True
Run 19  log+SPX+GVZ+macro,2.75,0.996,0.958,True
Run 19  log+SPX+GVZ+macro,3.0,0.991,0.958,True
Run 19  log+SPX+GVZ+macro,3.0,0.996,0.958,True
Run 19  log+SPX+GVZ+macro,3.5,0.997,0.958,True
Run 19  log+SPX+GVZ+macro,4.5,0.998,0.958,True
Run 18  log+GVZ+macro,3.75,0.987,0.9578,True
Run 18  log+GVZ+macro,3.5,0.987,0.9576,True
Run 18  log+GVZ+macro,3.25,0.987,0.9571,True
Run 18  log+GVZ+macro,3.0,0.987,0.9567,True
Run 18  log+GVZ+macro,1.0,0.991,0.9566,True
Run 18  log+GVZ+macro,2.75,0.987,0.9566,True
Run 20  log+crude+GVZ+macro,6.5,1.0,0.9566,True
Run 18  log+GVZ+macro,1.25,0.988,0.9563,True
Run 18  log+GVZ+macro,2.5,0.987,0.9557,True
Run 18  log+GVZ+macro,2.25,0.987,0.9533,True
Run 18  log+GVZ+macro,1.5,0.998,0.9502,True
Run 18  log+GVZ+macro,2.0,0.987,0.9502,True
Run 18  log+GVZ+macro,2.0,0.998,0.9502,True
Run 19  log+SPX+GVZ+macro,2.5,0.991,0.9502,True
Run 20  log+crude+GVZ+macro,1.25,0.994,0.9502,True
Run 20  log+crude+GVZ+macro,1.75,0.99,0.9502,True
Run 20  log+crude+GVZ+macro,2.5,0.997,0.9502,True
Run 20  log+crude+GVZ+macro,6.0,1.0,0.9502,True
Run 19  log+SPX+GVZ+macro,1.75,0.992,0.9492,True
Run 18  log+GVZ+macro,1.0,0.997,0.9479,True
Run 18  log+GVZ+macro,2.75,0.998,0.9479,True
Run 18  log+GVZ+macro,4.5,0.999,0.9479,True
Run 19  log+SPX+GVZ+macro,2.25,0.991,0.9479,True
Run 19  log+SPX+GVZ+macro,4.0,0.998,0.9479,True
Run 19  log+SPX+GVZ+macro,6.75,1.0,0.9479,True
Run 20  log+crude+GVZ+macro,1.25,0.993,0.9479,True
Run 20  log+crude+GVZ+macro,2.0,0.998,0.9479,True
Run 20  log+crude+GVZ+macro,3.5,0.998,0.9479,True
Run 18  log+GVZ+macro,1.75,0.987,0.9471,True
Run 18  log+GVZ+macro,3.25,0.998,0.9462,True
Run 18  log+GVZ+macro,1.75,0.999,0.9456,True
Run 19  log+SPX+GVZ+macro,2.0,0.991,0.9456,True
Run 19  log+SPX+GVZ+macro,6.25,1.0,0.9456,True
Run 20  log+crude+GVZ+macro,1.25,0.995,0.9456,True
Run 18  log+GVZ+macro,6.0,1.0,0.9449,True
Run 19  log+SPX+GVZ+macro,2.25,0.996,0.9435,True
Run 20  log+crude+GVZ+macro,5.25,1.0,0.9435,True
Run 18  log+GVZ+macro,2.25,0.998,0.9407,True
Run 18  log+GVZ+macro,1.0,0.99,0.9405,True
Run 18  log+GVZ+macro,5.25,1.0,0.9405,True
Run 19  log+SPX+GVZ+macro,1.75,0.996,0.9405,True
Run 19  log+SPX+GVZ+macro,2.0,0.996,0.9405,True
Run 19  log+SPX+GVZ+macro,4.75,0.999,0.9405,True
Run 19  log+SPX+GVZ+macro,5.25,1.0,0.9399,True
Run 18  log+GVZ+macro,1.5,0.987,0.9398,True
Run 19  log+SPX+GVZ+macro,6.5,1.0,0.9393,True
Run 20  log+crude+GVZ+macro,1.25,0.992,0.9393,True
Run 20  log+crude+GVZ+macro,1.5,0.998,0.9393,True
Run 20  log+crude+GVZ+macro,4.5,0.999,0.9393,True
Run 20  log+crude+GVZ+macro,4.0,0.999,0.9367,True
Run 18  log+GVZ+macro,1.0,0.998,0.9366,True
Run 19  log+SPX+GVZ+macro,1.75,0.991,0.9366,True
Run 19  log+SPX+GVZ+macro,2.5,0.996,0.9366,True
Run 19  log+SPX+GVZ+macro,3.25,0.997,0.9366,True
Run 19  log+SPX+GVZ+macro,3.5,0.99,0.9366,True
Run 19  log+SPX+GVZ+macro,3.75,0.99,0.9366,True
Run 19  log+SPX+GVZ+macro,3.75,0.998,0.9366,True
Run 19  log+SPX+GVZ+macro,4.0,0.99,0.9366,True
Run 19  log+SPX+GVZ+macro,4.25,0.99,0.9366,True
Run 19  log+SPX+GVZ+macro,4.25,0.999,0.9366,True
Run 19  log+SPX+GVZ+macro,4.5,0.99,0.9366,True
Run 19  log+SPX+GVZ+macro,4.75,0.99,0.9366,True
Run 19  log+SPX+GVZ+macro,5.0,0.99,0.9366,True
Run 19  log+SPX+GVZ+macro,5.0,0.999,0.9366,True
Run 19  log+SPX+GVZ+macro,5.25,0.99,0.9366,True
Run 19  log+SPX+GVZ+macro,5.5,0.99,0.9366,True
Run 19  log+SPX+GVZ+macro,5.75,0.99,0.9366,True
Run 19  log+SPX+GVZ+macro,6.0,0.99,0.9366,True
Run 19  log+SPX+GVZ+macro,6.25,0.99,0.9366,True
Run 19  log+SPX+GVZ+macro,6.5,0.99,0.9366,True
Run 19  log+SPX+GVZ+macro,6.75,0.99,0.9366,True
Run 19  log+SPX+GVZ+macro,7.0,0.99,0.9366,True
Run 20  log+crude+GVZ+macro,1.25,0.996,0.9366,True
Run 20  log+crude+GVZ+macro,1.5,0.99,0.9366,True
Run 20  log+crude+GVZ+macro,1.75,0.999,0.9366,True
Run 20  log+crude+GVZ+macro,3.25,0.989,0.9366,True
Run 20  log+crude+GVZ+macro,3.5,0.989,0.9366,True
Run 20  log+crude+GVZ+macro,3.75,0.989,0.9366,True
Run 20  log+crude+GVZ+macro,4.0,0.989,0.9366,True
Run 20  log+crude+GVZ+macro,4.25,0.989,0.9366,True
Run 20  log+crude+GVZ+macro,4.5,0.989,0.9366,True
Run 20  log+crude+GVZ+macro,4.75,0.989,0.9366,True
Run 20  log+crude+GVZ+macro,5.0,0.989,0.9366,True
Run 20  log+crude+GVZ+macro,5.25,0.989,0.9366,True
Run 20  log+crude+GVZ+macro,5.5,0.989,0.9366,True
Run 20  log+crude+GVZ+macro,5.75,0.989,0.9366,True
Run 20  log+crude+GVZ+macro,5.75,1.0,0.9366,True
Run 20  log+crude+GVZ+macro,6.0,0.989,0.9366,True
Run 20  log+crude+GVZ+macro,6.25,0.989,0.9366,True
Run 20  log+crude+GVZ+macro,6.5,0.989,0.9366,True
Run 20  log+crude+GVZ+macro,6.75,0.989,0.9366,True
Run 20  log+crude+GVZ+macro,7.0,0.989,0.9366,True
Run 20  log+crude+GVZ+macro,3.0,0.989,0.9361,True
Run 19  log+SPX+GVZ+macro,3.25,0.99,0.9355,True
Run 20  log+crude+GVZ+macro,2.75,0.989,0.9355,True
Run 20  log+crude+GVZ+macro,3.25,0.998,0.9355,True
Run 18  log+GVZ+macro,4.0,0.999,0.9327,True
Run 19  log+SPX+GVZ+macro,3.0,0.99,0.9327,True
Run 20  log+crude+GVZ+macro,2.5,0.989,0.9321,True
Run 18  log+GVZ+macro,4.25,1.0,0.9312,True
Run 19  log+SPX+GVZ+macro,1.5,0.993,0.9312,True
Run 19  log+SPX+GVZ+macro,2.75,0.99,0.9312,True
Run 18  log+GVZ+macro,3.0,0.998,0.9309,True
Run 20  log+crude+GVZ+macro,2.25,0.989,0.9301,True
Run 19  log+SPX+GVZ+macro,1.5,0.994,0.9275,True
Run 20  log+crude+GVZ+macro,4.25,1.0,0.9262,True
Run 19  log+SPX+GVZ+macro,2.5,0.99,0.9258,True
Run 19  log+SPX+GVZ+macro,6.0,1.0,0.9257,True
Run 20  log+crude+GVZ+macro,2.0,0.989,0.9257,True
Run 18  log+GVZ+macro,1.25,0.987,0.9248,True
Run 18  log+GVZ+macro,1.25,0.999,0.9248,True
Run 18  log+GVZ+macro,5.75,1.0,0.9248,True
Run 19  log+SPX+GVZ+macro,2.25,0.99,0.9248,True
Run 20  log+crude+GVZ+macro,5.5,1.0,0.9248,True
Run 19  log+SPX+GVZ+macro,1.5,0.992,0.92,True
Run 18  log+GVZ+macro,1.0,0.989,0.9198,True
Run 19  log+SPX+GVZ+macro,1.75,0.997,0.9188,True
Run 19  log+SPX+GVZ+macro,5.75,1.0,0.9186,True
Run 19  log+SPX+GVZ+macro,2.0,0.99,0.9171,True
Run 20  log+crude+GVZ+macro,1.25,0.991,0.9171,True
Run 18  log+GVZ+macro,4.75,1.0,0.9161,True
Run 19  log+SPX+GVZ+macro,2.75,0.997,0.9161,True
Run 20  log+crude+GVZ+macro,4.75,1.0,0.9114,True
Run 19  log+SPX+GVZ+macro,1.5,0.995,0.9105,True
Run 20  log+crude+GVZ+macro,2.25,0.998,0.9105,True
Run 19  log+SPX+GVZ+macro,5.5,1.0,0.9083,True
Run 18  log+GVZ+macro,5.5,1.0,0.9082,True
Run 20  log+crude+GVZ+macro,1.75,0.989,0.9082,True
Run 20  log+crude+GVZ+macro,3.75,0.999,0.9082,True
Run 18  log+GVZ+macro,2.5,0.998,0.9071,True
Run 19  log+SPX+GVZ+macro,4.5,0.999,0.9059,True
Run 19  log+SPX+GVZ+macro,3.5,0.998,0.9034,True
Run 18  log+GVZ+macro,1.0,0.999,0.9001,True
Run 19  log+SPX+GVZ+macro,3.0,0.997,0.8992,True
Run 19  log+SPX+GVZ+macro,1.75,0.99,0.8972,True
Run 19  log+SPX+GVZ+macro,1.5,0.991,0.891,True
Run 18  log+GVZ+macro,5.0,1.0,0.8908,True
Run 19  log+SPX+GVZ+macro,2.0,0.997,0.8908,True
Run 20  log+crude+GVZ+macro,1.25,0.997,0.8908,True
Run 20  log+crude+GVZ+macro,5.0,1.0,0.8842,True
Run 19  log+SPX+GVZ+macro,4.0,0.999,0.8813,True
Run 19  log+SPX+GVZ+macro,4.25,1.0,0.8808,True
Run 18  log+GVZ+macro,3.75,0.999,0.8791,True
Run 19  log+SPX+GVZ+macro,2.25,0.997,0.8791,True
Run 19  log+SPX+GVZ+macro,4.75,1.0,0.8791,True
Run 20  log+crude+GVZ+macro,2.75,0.998,0.8791,True
Run 20  log+crude+GVZ+macro,1.5,0.989,0.873,True
Run 18  log+GVZ+macro,1.0,0.988,0.872,True
Run 18  log+GVZ+macro,1.5,0.999,0.8713,True
Run 18  log+GVZ+macro,1.75,1.0,0.8713,True
Run 18  log+GVZ+macro,3.5,0.999,0.8713,True
Run 18  log+GVZ+macro,4.5,1.0,0.8713,True
Run 19  log+SPX+GVZ+macro,1.5,0.996,0.8713,True
Run 19  log+SPX+GVZ+macro,3.0,0.989,0.8713,True
Run 19  log+SPX+GVZ+macro,3.25,0.989,0.8713,True
Run 19  log+SPX+GVZ+macro,3.5,0.989,0.8713,True
Run 19  log+SPX+GVZ+macro,3.75,0.989,0.8713,True
Run 19  log+SPX+GVZ+macro,4.0,0.989,0.8713,True
Run 19  log+SPX+GVZ+macro,4.25,0.989,0.8713,True
Run 19  log+SPX+GVZ+macro,4.5,0.989,0.8713,True
Run 19  log+SPX+GVZ+macro,4.75,0.989,0.8713,True
Run 19  log+SPX+GVZ+macro,5.0,0.989,0.8713,True
Run 19  log+SPX+GVZ+macro,5.25,0.989,0.8713,True
Run 19  log+SPX+GVZ+macro,5.5,0.989,0.8713,True
Run 19  log+SPX+GVZ+macro,5.75,0.989,0.8713,True
Run 19  log+SPX+GVZ+macro,6.0,0.989,0.8713,True
Run 19  log+SPX+GVZ+macro,6.25,0.989,0.8713,True
Run 19  log+SPX+GVZ+macro,6.5,0.989,0.8713,True
Run 19  log+SPX+GVZ+macro,6.75,0.989,0.8713,True
Run 19  log+SPX+GVZ+macro,7.0,0.989,0.8713,True
Run 20  log+crude+GVZ+macro,1.25,0.99,0.8713,True
Run 20  log+crude+GVZ+macro,1.5,0.999,0.8713,True
Run 19  log+SPX+GVZ+macro,2.75,0.989,0.8691,True
Run 19  log+SPX+GVZ+macro,2.5,0.989,0.8589,True
Run 20  log+crude+GVZ+macro,4.0,1.0,0.8561,True
Run 18  log+GVZ+macro,1.0,1.0,0.8551,True
Run 18  log+GVZ+macro,2.0,0.999,0.8551,True
Run 19  log+SPX+GVZ+macro,1.25,0.993,0.8551,True
Run 19  log+SPX+GVZ+macro,1.5,0.99,0.8551,True
Run 19  log+SPX+GVZ+macro,1.75,0.998,0.8551,True
Run 19  log+SPX+GVZ+macro,2.0,0.989,0.8551,True
Run 19  log+SPX+GVZ+macro,2.25,0.989,0.8551,True
Run 19  log+SPX+GVZ+macro,2.5,0.997,0.8551,True
Run 19  log+SPX+GVZ+macro,3.25,0.998,0.8551,True
Run 20  log+crude+GVZ+macro,1.75,1.0,0.8551,True
Run 20  log+crude+GVZ+macro,2.0,0.999,0.8551,True
Run 20  log+crude+GVZ+macro,3.0,0.998,0.8551,True
Run 20  log+crude+GVZ+macro,3.5,0.988,0.8551,True
Run 20  log+crude+GVZ+macro,3.5,0.999,0.8551,True
Run 20  log+crude+GVZ+macro,3.75,0.988,0.8551,True
Run 20  log+crude+GVZ+macro,4.0,0.988,0.8551,True
Run 20  log+crude+GVZ+macro,4.25,0.988,0.8551,True
Run 20  log+crude+GVZ+macro,4.5,0.988,0.8551,True
Run 20  log+crude+GVZ+macro,4.75,0.988,0.8551,True
Run 20  log+crude+GVZ+macro,5.0,0.988,0.8551,True
Run 20  log+crude+GVZ+macro,5.25,0.988,0.8551,True
Run 20  log+crude+GVZ+macro,5.5,0.988,0.8551,True
Run 20  log+crude+GVZ+macro,5.75,0.988,0.8551,True
Run 20  log+crude+GVZ+macro,6.0,0.988,0.8551,True
Run 20  log+crude+GVZ+macro,6.25,0.988,0.8551,True
Run 20  log+crude+GVZ+macro,6.5,0.988,0.8551,True
Run 20  log+crude+GVZ+macro,6.75,0.988,0.8551,True
Run 20  log+crude+GVZ+macro,7.0,0.988,0.8551,True
Run 19  log+SPX+GVZ+macro,1.25,0.992,0.8549,True
Run 20  log+crude+GVZ+macro,3.25,0.988,0.8549,True
Run 19  log+SPX+GVZ+macro,1.25,0.994,0.8548,True
Run 19  log+SPX+GVZ+macro,5.0,1.0,0.8548,True
Run 20  log+crude+GVZ+macro,3.0,0.988,0.8548,True
Run 20  log+crude+GVZ+macro,2.75,0.988,0.8544,True
Run 19  log+SPX+GVZ+macro,3.75,0.999,0.853,True
Run 20  log+crude+GVZ+macro,2.5,0.988,0.8518,True
Run 18  log+GVZ+macro,2.75,0.999,0.8514,True
Run 20  log+crude+GVZ+macro,2.25,0.988,0.8486,True
